Time (s),Speed (m/s),Acceleration (m/s²),Distance (m),Power Demand (kW),Battery SOC,Battery Voltage (V),Battery Current (A),Battery Temperature (°C),Motor Speed (rpm),Motor Torque (Nm),Motor Efficiency (%)
0.0,0.0,0.0,0.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
1.0,3.0,3.0,3.0,18.59925015,0.9,400.0,46.498125375,25.0,0.0,0.0,0.0
2.0,6.0,3.0,9.0,37.2624012,0.9,400.0,93.156003,25.0,0.0,0.0,0.0
3.0,9.0,3.0,18.0,56.05335405,0.9,400.0,140.13338512500002,25.0,0.0,0.0,0.0
4.0,12.0,3.0,30.0,75.03600959999999,0.9,400.0,187.59002399999997,25.0,0.0,0.0,0.0
5.0,15.0,3.0,45.0,94.27426875,0.9,400.0,235.685671875,25.0,0.0,0.0,0.0
6.0,18.0,3.0,63.0,113.8320324,0.9,400.0,284.580081,25.0,0.0,0.0,0.0
7.0,21.0,3.0,84.0,133.77320145,0.9,400.0,334.43300362499997,25.0,0.0,0.0,0.0
8.0,24.0,3.0,108.0,154.16167679999998,0.9,400.0,385.40419199999997,25.0,0.0,0.0,0.0
9.0,27.0,3.0,135.0,175.06135935,0.9,400.0,437.65339837500005,25.0,0.0,0.0,0.0
10.0,30.0,3.0,165.0,196.53615,0.9,400.0,491.340375,25.0,0.0,0.0,0.0
11.0,30.0,0.0,195.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
12.0,30.0,0.0,225.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
13.0,30.0,0.0,255.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
14.0,30.0,0.0,285.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
15.0,30.0,0.0,315.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
16.0,30.0,0.0,345.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
17.0,30.0,0.0,375.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
18.0,30.0,0.0,405.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
19.0,30.0,0.0,435.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
20.0,30.0,0.0,465.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
21.0,30.0,0.0,495.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
22.0,30.0,0.0,525.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
23.0,30.0,0.0,555.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
24.0,30.0,0.0,585.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
